MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
BELÉN,115087000208,INSTITUCIÓN  EDUCATIVA TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000199,EL CARRIZAL,SAN JOSÉ SECTOR CARRIZAL
BELÉN,115087000208,INSTITUCIÓN  EDUCATIVA TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000148,TUATE BAJO,TUATE
BELÉN,115087000208,INSTITUCIÓN  EDUCATIVA TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000105,PEDRO PASCASIO MARTINEZ,VENTA SECTOR TENERIA
BELÉN,115087000208,INSTITUCIÓN  EDUCATIVA TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000121,TUATE ALTO,TUATE
BERBEO,315090000064,INSTITUCIÓN  EDUCATIVA CAMPO ELIAS CORTES,215090000116,AGUA BLANCA,AGUA BLANCA
BERBEO,315090000064,INSTITUCIÓN  EDUCATIVA CAMPO ELIAS CORTES,215090000027,BATATAL BAJO,BATATAL BAJO
BERBEO,315090000064,INSTITUCIÓN  EDUCATIVA CAMPO ELIAS CORTES,215090000035,BOMBITA,BOMBITA
BERBEO,315090000064,INSTITUCIÓN  EDUCATIVA CAMPO ELIAS CORTES,215090000051,RODEO,RODEO
BERBEO,315090000064,INSTITUCIÓN  EDUCATIVA CAMPO ELIAS CORTES,215090000043,JOTAS,JOTAS
BETÉITIVA,215092000041,INSTITUCIÓN  EDUCATIVA TECNICA NUESTRA SEÑORA DE LA O,215092000041,INSTITUCIÒN EDUCATIVA TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,OTENGÁ
BETÉITIVA,215092000041,INSTITUCIÓN  EDUCATIVA TECNICA NUESTRA SEÑORA DE LA O,215092000024,LAS PUENTES,OTENGÁ (SECTOR LAS PUENTES)
BETÉITIVA,215092000041,INSTITUCIÓN  EDUCATIVA TECNICA NUESTRA SEÑORA DE LA O,215092000083,SOIQUÍA,SOIQUÍA
BETÉITIVA,215092000105,INSTITUCIÓN  EDUCATIVA TECNIC0 AGROPECUARIO SANTA RITA DE CASIA,215092000091,BUNTIA,BUNTIA
BETÉITIVA,215092000105,INSTITUCIÓN  EDUCATIVA TECNIC0 AGROPECUARIO SANTA RITA DE CASIA,215092000067,DIVAQUIA,DIVAQUIA
BETÉITIVA,215092000105,INSTITUCIÓN  EDUCATIVA TECNIC0 AGROPECUARIO SANTA RITA DE CASIA,215092000075,SAURCA,SAURCA
BETÉITIVA,215092000105,INSTITUCIÓN  EDUCATIVA TECNIC0 AGROPECUARIO SANTA RITA DE CASIA,215092000059,VILLA FRANCA,VILLA FRANCA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000065,CUALATA,SAN FRANCISCO SECTOR CUALATA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000103,EL TUNAL,CACHAVITA SECTOR TUNAL
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000120,CACHAVITA,CACHAVITA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000341,EL GUAMITO,SACACHOVA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000073,CABRERITA,SACACHOVA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000286,SAN FRANCISCO,SAN FRANCISCO
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000219,CHULAVITA,CHULAVITA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000189,SACACHOVA ALTO,SACACHOVA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000081,LAGUNILLAS,LAGUNILLAS
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000090,LAS MINAS,LAGUNILLAS
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000243,EL CABUYAL,EL CABUYAL
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000324,EL RODEO,SAN FRANCISCO SECTOR EL RODEO
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000111,TOBARIA,SAN FRANCISCO SECTOR TOBARIA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000375,EL SABILAL,CACHAVITA
BOAVITA,115097000028,INSTITUCIÓN EDUCATIVA TECNICO AGRICOLA -,215097000251,LAS PALMAS,EL MELONAL SECTOR LAS PALMAS
